"Timestamp","Qual sua faixa etária?","Recebi uma boa base de aprendizado durante os anos escolares.","Me sinto acolhido(a) por professores e monitores quando tenho dúvidas.","Participa de algum laboratório ou projeto de pesquisa da universidade? ","Participa de atividades extra curriculares, como eventos e esportes na faculdade? ","Atualmente enfrento dificuldades financeiras.","Considero o meio acadêmico do qual faço parte acolhedor. ","Recebe alguma bolsa/auxilio da faculdade? ","Já trancou cadeiras por não acompanhar o conteúdo? ","Considera trocar de curso? ","Trabalha no contraturno das aulas? ","Consigo acompanhar a maioria dos conteúdos ministrados em sala de aula atualmente. ","As dificuldades financeiras afetam minha vida acadêmica. ","A participação em laboratórios ou projetos de pesquisa ajuda (ou ajudaria) a compreender melhor os conteúdos das disciplinas. ","Você conhece as oportunidades de iniciação científica, monitoria ou laboratórios oferecidas pela universidade? ","Você atende aos requisitos necessários para participar de projetos de iniciação científica (CR acima de 7.0 e disciplinas pagas em caso de reprovação)?","Me sinto preparado(a) para atuar no mercado de trabalho com o que aprendo na graduação.","Como você avalia a grade currilar vigente? ","Como você avalia a infraestrutura do prédio de computação? "
"2025/06/23 5:23:17 PM GMT-3","22 - 25 anos","Nem concordo nem discordo","Concordo parcialmente","Não","Sim","Nem concordo nem discordo","Nem concordo nem discordo","Não","Sim","Sim","Sim","Discordo parcialmente","Discordo totalmente","Discordo totalmente","Não","Sim","Discordo parcialmente","Neutro","Boa"
"2025/06/23 7:21:14 PM GMT-3","18 - 21 anos","Nem concordo nem discordo","Concordo parcialmente","Sim","Sim","Concordo parcialmente","Nem concordo nem discordo","Não","Sim","Não","Sim","Concordo parcialmente","Concordo totalmente","Concordo totalmente","Sim","Sim","Nem concordo nem discordo","Ruim","Neutro"
"2025/06/23 10:39:20 PM GMT-3","Menos de 18 anos","Nem concordo nem discordo","Discordo parcialmente","Não","Não","Discordo totalmente","Concordo parcialmente","Não","Não","Sim","Não","Discordo totalmente","Discordo totalmente","Nem concordo nem discordo","Sim","Não","Discordo parcialmente","Ruim","Boa"
"2025/07/02 6:21:33 PM GMT-3","18 - 21 anos","Discordo totalmente","Nem concordo nem discordo","Não","Sim","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Não","Nem concordo nem discordo","Discordo parcialmente","Concordo parcialmente","Não","Não","Discordo parcialmente","Neutro","Muito boa"
"2025/07/02 6:24:21 PM GMT-3","Mais de 30 anos","Concordo totalmente","Discordo parcialmente","Não","Sim","Discordo totalmente","Concordo parcialmente","Não","Sim","Não","Sim","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Concordo parcialmente","Ruim","Boa"
"2025/07/02 6:31:04 PM GMT-3","18 - 21 anos","Nem concordo nem discordo","Nem concordo nem discordo","Não","Sim","Discordo totalmente","Nem concordo nem discordo","Não","Sim","Não","Sim","Discordo totalmente","Nem concordo nem discordo","Concordo totalmente","Não","Sim","Discordo totalmente","Boa","Muito ruim"
"2025/07/02 7:07:16 PM GMT-3","22 - 25 anos","Concordo parcialmente","Concordo parcialmente","Sim","Sim","Discordo parcialmente","Nem concordo nem discordo","Não","Sim","Sim","Não","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Não","Não","Discordo totalmente","Ruim","Ruim"
"2025/07/02 7:19:26 PM GMT-3","Menos de 18 anos","Nem concordo nem discordo","Nem concordo nem discordo","Não","Sim","Nem concordo nem discordo","Concordo parcialmente","Não","Não","Não","Não","Nem concordo nem discordo","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Concordo parcialmente","Boa","Boa"
"2025/07/02 7:19:39 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo parcialmente","Sim","Não","Discordo totalmente","Concordo parcialmente","Não","Não","Não","Não","Concordo parcialmente","Discordo totalmente","Concordo parcialmente","Não","Sim","Nem concordo nem discordo","Neutro","Neutro"
"2025/07/02 7:21:11 PM GMT-3","18 - 21 anos","Concordo parcialmente","Nem concordo nem discordo","Não","Não","Discordo totalmente","Nem concordo nem discordo","Não","Não","Não","Não","Concordo totalmente","Nem concordo nem discordo","Concordo totalmente","Não","Sim","Discordo parcialmente","Boa","Boa"
"2025/07/02 7:24:09 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo totalmente","Não","Sim","Concordo parcialmente","Concordo totalmente","Não","Não","Não","Não","Concordo parcialmente","Nem concordo nem discordo","Concordo totalmente","Sim","Não","Concordo parcialmente","Boa","Boa"
"2025/07/02 7:28:25 PM GMT-3","18 - 21 anos","Nem concordo nem discordo","Nem concordo nem discordo","Não","Não","Concordo parcialmente","Nem concordo nem discordo","Não","Sim","Sim","Sim","Concordo parcialmente","Nem concordo nem discordo","Concordo parcialmente","Sim","Não","Discordo totalmente","Ruim","Boa"
"2025/07/02 7:32:43 PM GMT-3","22 - 25 anos","Discordo parcialmente","Nem concordo nem discordo","Sim","Não","Concordo parcialmente","Concordo parcialmente","Não","Sim","Não","Não","Discordo parcialmente","Concordo totalmente","Concordo parcialmente","Sim","Sim","Discordo parcialmente","Ruim","Neutro"
"2025/07/02 7:39:03 PM GMT-3","18 - 21 anos","Discordo totalmente","Nem concordo nem discordo","Não","Não","Discordo parcialmente","Nem concordo nem discordo","Não","Sim","Não","Não","Nem concordo nem discordo","Discordo parcialmente","Concordo parcialmente","Não","Sim","Discordo parcialmente","Neutro","Boa"
"2025/07/02 7:40:08 PM GMT-3","18 - 21 anos","Discordo totalmente","Concordo totalmente","Não","Não","Nem concordo nem discordo","Concordo totalmente","Não","Não","Não","Não","Nem concordo nem discordo","Concordo parcialmente","Concordo totalmente","Sim","Não","Discordo parcialmente","Neutro","Muito boa"
"2025/07/02 7:45:44 PM GMT-3","18 - 21 anos","Concordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Concordo totalmente","Não","Sim","Não","Sim","Discordo parcialmente","Discordo parcialmente","Concordo parcialmente","Sim","Não","Discordo parcialmente","Neutro","Neutro"
"2025/07/02 8:02:05 PM GMT-3","18 - 21 anos","Concordo totalmente","Concordo parcialmente","Sim","Não","Nem concordo nem discordo","Concordo parcialmente","Não","Não","Não","Não","Concordo parcialmente","Concordo parcialmente","Concordo totalmente","Não","Sim","Discordo totalmente","Ruim","Boa"
"2025/07/02 8:52:17 PM GMT-3","22 - 25 anos","Discordo totalmente","Nem concordo nem discordo","Sim","Não","Concordo parcialmente","Discordo parcialmente","Sim","Sim","Sim","Não","Discordo totalmente","Concordo totalmente","Concordo parcialmente","Sim","Não","Discordo totalmente","Muito ruim","Ruim"
"2025/07/03 9:14:08 AM GMT-3","22 - 25 anos","Concordo parcialmente","Concordo parcialmente","Não","Sim","Discordo totalmente","Concordo parcialmente","Não","Não","Sim","Não","Concordo parcialmente","Discordo totalmente","Concordo totalmente","Não","Não","Discordo totalmente","Neutro","Muito boa"
